seed,model,group,correct,count,rate
0,exact-template,fault:duplicate-product-currency-server-occurrence:unseen-size,10,10,1.0
0,exact-template,fault:duplicate-product-server-occurrence:all,18,18,1.0
0,exact-template,fault:duplicate-product-server-occurrence:seen-size,8,8,1.0
0,exact-template,fault:duplicate-product-server-occurrence:unseen-size,10,10,1.0
0,exact-template,fault:duplicate-shipping-currency-server-occurrence:all,18,18,1.0
0,exact-template,fault:duplicate-shipping-currency-server-occurrence:seen-size,8,8,1.0
0,exact-template,fault:duplicate-shipping-currency-server-occurrence:unseen-size,10,10,1.0
0,2-gram,normal-all,12,18,0.6666666666666666
0,2-gram,normal-seen-size,8,8,1.0
0,2-gram,normal-unseen-size,4,10,0.4
0,2-gram,fault:currency-server-phase-inversion:all,18,18,1.0
0,2-gram,fault:currency-server-phase-inversion:seen-size,8,8,1.0
0,2-gram,fault:currency-server-phase-inversion:unseen-size,10,10,1.0
0,2-gram,fault:drop-product-currency-server-occurrence:all,6,14,0.42857142857142855
0,2-gram,fault:drop-product-currency-server-occurrence:seen-size,0,4,0.0
0,2-gram,fault:drop-product-currency-server-occurrence:unseen-size,6,10,0.6
0,2-gram,fault:drop-product-server-occurrence:all,6,14,0.42857142857142855
0,2-gram,fault:drop-product-server-occurrence:seen-size,0,4,0.0
0,2-gram,fault:drop-product-server-occurrence:unseen-size,6,10,0.6
0,2-gram,fault:duplicate-product-currency-server-occurrence:all,6,18,0.3333333333333333
0,2-gram,fault:duplicate-product-currency-server-occurrence:seen-size,0,8,0.0
0,2-gram,fault:duplicate-product-currency-server-occurrence:unseen-size,6,10,0.6
0,2-gram,fault:duplicate-product-server-occurrence:all,6,18,0.3333333333333333
0,2-gram,fault:duplicate-product-server-occurrence:seen-size,0,8,0.0
0,2-gram,fault:duplicate-product-server-occurrence:unseen-size,6,10,0.6
0,2-gram,fault:duplicate-shipping-currency-server-occurrence:all,10,18,0.5555555555555556
0,2-gram,fault:duplicate-shipping-currency-server-occurrence:seen-size,0,8,0.0
0,2-gram,fault:duplicate-shipping-currency-server-occurrence:unseen-size,10,10,1.0
0,3-gram,normal-all,12,18,0.6666666666666666
0,3-gram,normal-seen-size,8,8,1.0
0,3-gram,normal-unseen-size,4,10,0.4
0,3-gram,fault:currency-server-phase-inversion:all,18,18,1.0
0,3-gram,fault:currency-server-phase-inversion:seen-size,8,8,1.0
0,3-gram,fault:currency-server-phase-inversion:unseen-size,10,10,1.0
0,3-gram,fault:drop-product-currency-server-occurrence:all,6,14,0.42857142857142855
0,3-gram,fault:drop-product-currency-server-occurrence:seen-size,0,4,0.0
